Period,Position,Seniority,Global_exp,Local_exp,Salary
2019_H1,Business analyst,Junior,0.5,4,850
2019_H1,Business analyst,Middle,2,меньше 3 месяцев,1200
2019_H1,Business analyst,Junior,0.5,0.5,950
2019_H1,Business analyst,Junior,1.5,1.5,650
2019_H1,Business analyst,Middle,2,2,1400
2019_H1,Business analyst,Middle,4,меньше 3 месяцев,3000
2019_H1,Business analyst,Lead,10 и более лет,меньше 3 месяцев,3000
2019_H1,Business analyst,Middle,2,1,450
2019_H1,Business analyst,Senior,6,2,1700
2019_H1,Business analyst,Junior,1,меньше 3 месяцев,1400
2019_H1,Business analyst,Junior,0.5,0.5,1200
2019_H1,Business analyst,Junior,меньше 3 месяцев,меньше 3 месяцев,450
2019_H1,Business analyst,Junior,0.5,0.5,950
2019_H1,Business analyst,Middle,4,1,2600
2019_H1,Business analyst,Junior,1.5,0.5,900
2019_H1,Business analyst,Middle,2,2,515
2019_H1,Business analyst,Junior,1.5,1.5,1333
2019_H1,Business analyst,Junior,0.25,0.25,1000
2019_H1,Business analyst,Middle,5,1.5,1620
2019_H1,Business analyst,Middle,3,5,2000
2019_H1,Business analyst,Middle,3,0.25,1500
2019_H1,Business analyst,Lead,8,1,1000
2019_H1,Business analyst,Senior,6,4,2800
2019_H1,Business analyst,Senior,6,6,1500
2019_H1,Business analyst,Junior,меньше 3 месяцев,меньше 3 месяцев,600
2019_H1,Business analyst,Middle,5,4,1900
2019_H1,Business analyst,Lead,9,4,2700
2019_H1,Business analyst,Junior,0.5,0.25,500
2019_H1,Business analyst,Middle,2,1,2000
2019_H1,Business analyst,Junior,меньше 3 месяцев,меньше 3 месяцев,250
2019_H1,Business analyst,Middle,3,0.25,2000
2019_H1,Business analyst,Middle,4,3,3700
2019_H1,Business analyst,Middle,4,1.5,2800
2019_H1,Business analyst,Lead,10 и более лет,3,5250
2019_H1,Business analyst,Middle,4,1,1100
2019_H1,Business analyst,Middle,3,0.5,1500
2019_H1,Business analyst,Middle,3,1,2200
2019_H1,Business analyst,Middle,3,1.5,2500
2019_H1,Business analyst,Junior,1.5,1.5,750
2019_H1,Business analyst,Junior,1.5,меньше 3 месяцев,1100
2019_H1,Business analyst,Middle,3,3,1500
2019_H1,Business analyst,Junior,0.5,0.5,610
2019_H1,Business analyst,Lead,10 и более лет,2,3000
2019_H1,Business analyst,Junior,0.5,0.25,650
2019_H1,Business analyst,Middle,2,0.25,2500
2019_H1,Business analyst,Middle,5,0.25,2500
2019_H1,Business analyst,Lead,10 и более лет,2,4000
2019_H1,Business analyst,Senior,6,6,2600
2019_H1,Business analyst,Junior,1.5,1.5,462
2019_H1,Business analyst,Middle,5,1,1500
2019_H1,Business analyst,Lead,10 и более лет,4,3500
2019_H1,Business analyst,Middle,2,2,1700
2019_H1,Business analyst,Middle,5,1,2500
2019_H1,Business analyst,Lead,8,меньше 3 месяцев,3800
2019_H1,Business analyst,Middle,4,1,1400
2019_H1,Business analyst,Middle,3,3,2250
2019_H1,Business analyst,Middle,2,0.5,2000
2019_H1,Business analyst,Middle,5,3,2600
2019_H1,Business analyst,Senior,6,1,2000
2019_H1,Business analyst,Junior,1.5,меньше 3 месяцев,1600
2019_H1,Business analyst,Junior,1,0.25,1200
2019_H1,Business analyst,Middle,5,меньше 3 месяцев,3000
