Period,Position,Seniority,Global_exp,Local_exp,Salary,GDP
2015.12,Business analyst,Middle,5,5,2400,2094.47387695313
2015.12,Business analyst,Middle,2,1,260,2094.47387695313
2015.12,Business analyst,Middle,3,3,1500,2094.47387695313
2015.12,Business analyst,Middle,2,2,400,2094.47387695313
2015.12,Business analyst,Middle,3,0.5,417,2094.47387695313
2015.12,Business analyst,Lead,10 и более лет,6,1000,2094.47387695313
2015.12,Business analyst,Lead,10 и более лет,5,1000,2094.47387695313
2015.12,Business analyst,Junior,меньше 3 месяцев,меньше 3 месяцев,350,2094.47387695313
2015.12,Business analyst,Middle,5,3,3750,2094.47387695313
2015.12,Business analyst,Junior,1,0.25,1800,2094.47387695313
2015.12,Business analyst,Middle,4,3,1400,2094.47387695313
2015.12,Business analyst,Middle,2,меньше 3 месяцев,1600,2094.47387695313
2015.12,Business analyst,Middle,5,0.25,1600,2094.47387695313
2015.12,Business analyst,Middle,2,0.25,1620,2094.47387695313
2015.12,Business analyst,Middle,4,1,1800,2094.47387695313
2015.12,Business analyst,Middle,3,0.25,3500,2094.47387695313
2015.12,Business analyst,Middle,3,3,1450,2094.47387695313
2015.12,Business analyst,Middle,2,0.5,2430,2094.47387695313
2015.12,Business analyst,Junior,1.5,1,1700,2094.47387695313
2015.12,Business analyst,Middle,3,3,400,2094.47387695313
2015.12,Business analyst,Middle,3,меньше 3 месяцев,3500,2094.47387695313
2015.12,Business analyst,Middle,3,0.5,2200,2094.47387695313
2015.12,Business analyst,Middle,2,0.5,2200,2094.47387695313
2015.12,Business analyst,Junior,меньше 3 месяцев,меньше 3 месяцев,200,2094.47387695313
2015.12,Business analyst,Middle,5,1,100,2094.47387695313
2015.12,Business analyst,Senior,6,1.5,3000,2094.47387695313
2015.12,Business analyst,Lead,10 и более лет,0.25,3000,2094.47387695313
2015.12,Business analyst,Junior,1,меньше 3 месяцев,3220,2094.47387695313
2015.12,Business analyst,Middle,5,1,1200,2094.47387695313
2015.12,Business analyst,Lead,10 и более лет,3,2500,2094.47387695313
2015.12,Business analyst,Middle,5,0.5,2000,2094.47387695313
2015.12,Business analyst,Junior,0.5,0.5,800,2094.47387695313
2015.12,Business analyst,Junior,1,1,700,2094.47387695313
2015.12,Business analyst,Middle,5,2,900,2094.47387695313
2015.12,Business analyst,Middle,3,0.5,1500,2094.47387695313
2015.12,Business analyst,Senior,7,1,3300,2094.47387695313
2015.12,Business analyst,Middle,3,3,2400,2094.47387695313
2015.12,Business analyst,Junior,0.5,0.5,1000,2094.47387695313
2015.12,Business analyst,Lead,8,1,2300,2094.47387695313
2015.12,Business analyst,Senior,7,7,2900,2094.47387695313
2015.12,Business analyst,Middle,2,2,1400,2094.47387695313
2015.12,Business analyst,Junior,1,1,500,2094.47387695313
2015.12,Business analyst,Lead,9,2,2500,2094.47387695313
2015.12,Business analyst,Lead,10 и более лет,6,2800,2094.47387695313
2015.12,Business analyst,Middle,2,1,1000,2094.47387695313
2015.12,Business analyst,Middle,3,меньше 3 месяцев,1500,2094.47387695313
2015.12,Business analyst,Middle,3,0.5,2350,2094.47387695313
2015.12,Business analyst,Junior,0.5,0.5,2100,2094.47387695313
2015.12,Business analyst,Junior,1.5,0.5,1000,2094.47387695313
2015.12,Business analyst,Lead,10 и более лет,0.5,2750,2094.47387695313
2015.12,Business analyst,Senior,6,0.5,2500,2094.47387695313
2015.12,Business analyst,Middle,4,3,2700,2094.47387695313
2015.12,Business analyst,Middle,3,0.5,3000,2094.47387695313
2015.12,Business analyst,Junior,0.5,меньше 3 месяцев,1300,2094.47387695313
2015.12,Business analyst,Junior,меньше 3 месяцев,меньше 3 месяцев,600,2094.47387695313
2015.12,Business analyst,Senior,7,0.5,2000,2094.47387695313
2015.12,Business analyst,Junior,0.25,2,900,2094.47387695313
2015.12,Business analyst,Middle,5,0.25,800,2094.47387695313
2015.12,Business analyst,Middle,2,2,800,2094.47387695313
2015.12,Business analyst,Middle,5,5,440,2094.47387695313
2015.12,Business analyst,Middle,5,3,420,2094.47387695313
2015.12,Business analyst,Lead,10 и более лет,0.5,550,2094.47387695313
2015.12,Business analyst,Junior,1,1,1500,2094.47387695313
2015.12,Business analyst,Lead,10 и более лет,10 и более лет,1000,2094.47387695313
2015.12,Business analyst,Senior,6,1,2000,2094.47387695313
2015.12,Business analyst,Junior,1,1,760,2094.47387695313
2015.12,Business analyst,Middle,5,1.5,2000,2094.47387695313
2015.12,Business analyst,Junior,меньше 3 месяцев,меньше 3 месяцев,500,2094.47387695313
2015.12,Business analyst,Junior,0.25,0.25,900,2094.47387695313
2015.12,Business analyst,Junior,1.5,меньше 3 месяцев,1600,2094.47387695313
2015.12,Business analyst,Middle,2,2,2500,2094.47387695313
2015.12,Business analyst,Junior,0.5,0.5,720,2094.47387695313
2015.12,Business analyst,Lead,10 и более лет,1,3000,2094.47387695313
2015.12,Business analyst,Senior,7,3,1000,2094.47387695313
2015.12,Business analyst,Junior,0.5,0.5,1500,2094.47387695313
2015.12,Business analyst,Middle,3,1,1960,2094.47387695313
2015.12,Business analyst,Middle,5,1,2500,2094.47387695313
2015.12,Business analyst,Junior,1.5,1.5,1300,2094.47387695313
2015.12,Business analyst,Junior,1,1,1500,2094.47387695313
2015.12,Business analyst,Middle,3,3,1400,2094.47387695313
2015.12,Business analyst,Middle,2,2,2300,2094.47387695313
2015.12,Business analyst,Middle,3,меньше 3 месяцев,700,2094.47387695313
2015.12,Business analyst,Middle,2,2,1000,2094.47387695313
2015.12,Business analyst,Junior,1,1,450,2094.47387695313
2015.12,Business analyst,Middle,4,меньше 3 месяцев,2500,2094.47387695313
2015.12,Business analyst,Middle,3,0.25,2400,2094.47387695313
2015.12,Business analyst,Junior,0.5,0.5,400,2094.47387695313
2015.12,Business analyst,Junior,1.5,0.5,1920,2094.47387695313
2015.12,Business analyst,Junior,1.5,1.5,160,2094.47387695313
2015.12,Business analyst,Junior,0.25,0.25,300,2094.47387695313
2015.12,Business analyst,Middle,3,0.5,2100,2094.47387695313
2015.12,Business analyst,Middle,4,3,3500,2094.47387695313
2015.12,Business analyst,Junior,1.5,меньше 3 месяцев,500,2094.47387695313
2015.12,Business analyst,Middle,3,0.5,1700,2094.47387695313
2015.12,Business analyst,Senior,7,3,2365,2094.47387695313
2015.12,Business analyst,Junior,0.5,2,1200,2094.47387695313
2015.12,Business analyst,Middle,2,2,607,2094.47387695313
2015.12,Business analyst,Junior,0.25,меньше 3 месяцев,150,2094.47387695313
2015.12,Business analyst,Middle,5,1.5,2327,2094.47387695313
2015.12,Business analyst,Middle,3,0.5,700,2094.47387695313
2015.12,Business analyst,Junior,0.5,0.5,1000,2094.47387695313
2015.12,Business analyst,Middle,4,2,1500,2094.47387695313
2015.12,Business analyst,Middle,3,0.5,1800,2094.47387695313
2015.12,Business analyst,Lead,8,8,3000,2094.47387695313
2015.12,Business analyst,Junior,0.25,0.25,700,2094.47387695313
2015.12,Business analyst,Lead,8,1,2688,2094.47387695313
2015.12,Business analyst,Junior,0.25,0.25,1900,2094.47387695313
