Period,Position,Seniority,Global_exp,Local_exp,Salary
2019_H1,Data Analyst,,10 и более лет,0.5,4300
2019_H1,Data Analyst,,1,0.5,1000
2019_H1,Data Analyst,,1.5,0.5,700
2019_H1,Data Analyst,,0.25,0.25,600
2019_H1,Data Analyst,,2,0.5,850
2019_H1,Data Analyst,,3,3,3000
2019_H1,Data Analyst,,0.5,0.5,950
2019_H1,Data Analyst,,2,0.25,900
2019_H1,Data Analyst,,1.5,1.5,600
2019_H1,Data Analyst,,6,6,2300
2019_H1,Data Analyst,,0.5,0.5,450
2019_H1,Data Analyst,,0.25,1,450
2019_H1,Data Analyst,,2,0.25,1000
2019_H1,Data Analyst,,1,1,1000
2019_H1,Data Analyst,,0.5,0.5,700
2019_H1,Data Analyst,,0.5,0.5,700
2019_H1,Data Analyst,,1,меньше 3 месяцев,600
2019_H1,Data Analyst,,6,1,1875
2019_H1,Data Analyst,,4,меньше 3 месяцев,2000
2019_H1,Data Analyst,,меньше 3 месяцев,4,1000
2019_H1,Data Analyst,,7,0.5,1000
2019_H1,Data Analyst,,10 и более лет,6,3515
2019_H1,Data Analyst,,5,1.5,2500
2019_H1,Data Analyst,,4,2,1950
2019_H1,Data Analyst,,2,2,800
2019_H1,Data Analyst,,0.25,0.25,400
2019_H1,Data Analyst,,3,3,1600
2019_H1,Data Analyst,,6,4,560
2019_H1,Data Analyst,,2,1.5,1400
2019_H1,Data Analyst,,2,2,2500
2019_H1,Data Analyst,,2,2,1600
2019_H1,Data Analyst,,3,3,1300
2019_H1,Data Analyst,,6,3,1100
2019_H1,Data Analyst,,0.25,0.25,600
2019_H1,Data Analyst,,1,1,1000
2019_H1,Data Analyst,,2,0.5,1300
2019_H1,Data Analyst,,2,1,700
2019_H1,Data Analyst,,1.5,0.25,1000
2019_H1,Data Analyst,,0.25,меньше 3 месяцев,1000
2019_H1,Data Analyst,,1.5,0.5,1000
2019_H1,Data Analyst,,1.5,1.5,540
2019_H1,Data Analyst,,1.5,меньше 3 месяцев,1800
2019_H1,Data Analyst,,1,1.5,700
2019_H1,Data Analyst,,1,1,2500
2019_H1,Data Analyst,,5,1,1538
2019_H1,Data Analyst,,7,1.5,3000
2019_H1,Data Analyst,,0.5,0.5,740
2019_H1,Data Analyst,,4,1,700
2019_H1,Data Analyst,,10 и более лет,10 и более лет,1400
2019_H1,Data Analyst,,5,5,3500
2019_H1,Data Analyst,,1.5,1.5,600
2019_H1,Data Analyst,,0.5,0.5,600
2019_H1,Data Analyst,,1,0.5,1000
2019_H1,Data Analyst,,2,0.5,600
2019_H1,Data Analyst,,1,меньше 3 месяцев,950
2019_H1,Data Analyst,,1.5,1.5,300
2019_H1,Data Analyst,,0.5,0.5,570
2019_H1,Data Analyst,,3,2,1925
2019_H1,Data Analyst,,0.25,0.25,380
2019_H1,Data Analyst,,2,1.5,570
2019_H1,Data Analyst,,2,0.25,2500
2019_H1,Data Analyst,,2,меньше 3 месяцев,1100
2019_H1,Data Analyst,,10 и более лет,0.25,450
2019_H1,Data Analyst,,2,0.25,1500
2019_H1,Data Analyst,,3,4,2000
2019_H1,Data Analyst,,0.25,1.5,2000
2019_H1,Data Analyst,,0.5,0.5,770
2019_H1,Data Analyst,,1,1,2000
2019_H1,Data Analyst,,4,1,3000
2019_H1,Data Analyst,,0.5,0.5,500
2019_H1,Data Analyst,,меньше 3 месяцев,меньше 3 месяцев,500
2019_H1,Data Analyst,,0.5,0.5,255
2019_H1,Data Analyst,,2,2,650
2019_H1,Data Analyst,,2,2,550
2019_H1,Data Analyst,,3,1,2100
2019_H1,Data Analyst,,4,меньше 3 месяцев,200
2019_H1,Data Analyst,,1.5,меньше 3 месяцев,100
2019_H1,Data Analyst,,1,0.25,650
2019_H1,Data Analyst,,2,0.25,800
2019_H1,Data Analyst,,2,2,800
2019_H1,Data Analyst,,3,1,850
2019_H1,Data Analyst,,2,2,520
2019_H1,Data Analyst,,1,1,1000
2019_H1,Data Analyst,,5,0.5,5000
2019_H1,Data Analyst,,3,3,800
2019_H1,Data Analyst,,6,6,1000
2019_H1,Data Analyst,,7,1,1600
2019_H1,Data Analyst,,2,0.25,750
2019_H1,Data Analyst,,4,2,3000
2019_H1,Data Analyst,,8,1,538
2019_H1,Data Analyst,,меньше 3 месяцев,меньше 3 месяцев,200
2019_H1,Data Analyst,,2,1,2000
2019_H1,Data Analyst,,0.5,0.25,1200
2019_H1,Data Analyst,,1,меньше 3 месяцев,1200
2019_H1,Data Analyst,,1,1,300
2019_H1,Data Analyst,,3,1.5,1800
2019_H1,Data Analyst,,2,2,500
2019_H1,Data Analyst,,0.5,0.5,1000
2019_H1,Data Analyst,,1,1,750
2019_H1,Data Analyst,,6,4,2000
2019_H1,Data Analyst,,1.5,1.5,1000
2019_H1,Data Analyst,,2,0.5,500
2019_H1,Data Analyst,,5,1,2000
2019_H1,Data Analyst,,2,2,1100
2019_H1,Data Analyst,,1,1,434
2019_H1,Data Analyst,,2,2,1500
2019_H2,Business Analyst,,1 рік,1 рік,900.0
2019_H2,Business Analyst,,2 роки,Півроку,800.0
2019_H2,Business Analyst,,1 рік,Менше 3 місяців,800.0
2019_H2,Data Analyst,,1 рік,Менше 3 місяців,800.0
2019_H2,Data Analyst,,Півроку,Менше 3 місяців,800.0
2019_H2,Business Analyst,,Півроку,Півроку,900.0
2019_H2,Business Analyst,,3 роки,2 роки,850.0
2019_H2,Business Analyst,,1 рік,5 років,850.0
2019_H2,Business Analyst,,1 рік,Півроку,850.0
2019_H2,Business Analyst,,Півроку,2 роки,800.0
2019_H2,Business Analyst,,1 рік,1 рік,835.0
2019_H2,Business Analyst,,Півроку,Півроку,800.0
2019_H2,Data Analyst,,7 років,1 рік,750.0
2019_H2,Data Analyst,,Півроку,Півроку,800.0
2019_H2,Business Analyst,,Півроку,3 місяці,800.0
2019_H2,Business Analyst,,Півроку,Півроку,800.0
2019_H2,Business Analyst,,2 роки,2 роки,800.0
2019_H2,Data Analyst,,Півроку,3 місяці,800.0
2019_H2,Business Analyst,,5 років,2 роки,780.0
2019_H2,Business Analyst,,2 роки,2 роки,772.0
2019_H2,Business Analyst,,1 рік,1 рік,765.0
2019_H2,Business Analyst,,3 місяці,Півроку,750.0
2019_H2,Business Analyst,,3 місяці,3 місяці,750.0
2019_H2,Data Analyst,,1 рік,Півроку,900.0
